id;role_name;role_code;description;create_by;create_time;update_by;update_time
a2e00283-8956-4e9e-9e44-5d5488c0ff9b;Salad HDD Rubber;Place generate Refined;drive Bedfordshire;back-end;2022-09-20T10:45:51;Automotive efficient turn-key;2022-09-20T03:56:34
8f73735e-6590-43e6-8997-30d16e0fcf2b;Mobility Cedi;Car;Avon;connect;2022-09-20T00:49:08;intuitive;2022-09-20T16:50:23
48d4a06a-863b-4dee-a277-46f1cd025268;Fish Wooden Handcrafted;PCI Soft;Borders;Pike;2022-09-20T09:22:07;Avon;2022-09-19T22:28:24
b1827e75-76ee-465d-9881-a40b6ef41a06;capability;AI matrices attitude;Handmade Universal Reverse-engineered;Factors interfaces;2022-09-19T20:52:56;Saint lime back;2022-09-20T10:56:59
8142c9d8-c113-4ace-b205-85ed4120a3b3;GB;Optional;Concrete complexity;Hat;2022-09-20T04:01:06;haptic;2022-09-19T18:49:35
de5289ea-223f-4326-8019-0a8632da8db0;real-time deposit Maine;Forks deliverables hardware;Burundi;Table;2022-09-20T08:53:11;Somalia Saint Pre-emptive;2022-09-19T20:31:02
593c506e-4dcc-4883-ae80-d297c89916ac;invoice Practical architecture;JSON Plastic;communities Planner;harness;2022-09-20T00:22:26;Planner incubate;2022-09-20T13:46:40
37609e89-ef01-40ea-bb07-ba691a129cc9;needs-based Heights;Specialist;protocol Cloned;override synthesizing;2022-09-20T16:19:17;ROI;2022-09-19T21:32:52
ad9b2006-9cd5-415d-8db2-d13f52353c02;Unbranded Internal invoice;Garden;Security methodologies;Shoes;2022-09-20T15:48:53;Identity tertiary;2022-09-19T20:55:29
af4060f1-e72f-4e81-b45c-b1a92d013709;hack Sausages Product;Towels Frozen Dollar;Cambridgeshire;overriding Jordanian Refined;2022-09-20T08:55:05;Generic;2022-09-20T08:33:27
